"shopProductID","shopID","productID","stockTake","description","productName","price"
1047,3,326,1,"","Yam (Khoai Mo)",1
1048,3,327,1,"","Pumpkin butter",1
1049,3,328,1,"","Pumpkin japanese",1
1050,3,329,1,"","Pumpkin gold",1
1051,3,330,1,"","Watermelons seedless",1
1052,3,331,1,"","Watermelons seeded",1
1053,3,332,1,"","Eggs 600g",1
1054,3,333,1,"","Eggs 700g",1
1055,3,334,1,"","Eggs 850g",1
1056,3,335,1,"","Eggs WR 600g",1
1057,3,336,1,"","Eggs WR 700g",1
1058,3,337,1,"","Eggs GE 500g",1
1059,3,338,1,"","Eggs GE 600g",1
1060,3,339,1,"","Eggs GE 700g",1
1061,3,340,1,"","Eggs Loose",1
1062,3,341,1,"","Free range 600g",1
1063,3,342,1,"","Free range 700g",1
1064,3,343,1,"","Free range 800g",1
1065,3,344,1,"","Kale",1
1066,3,345,1,"","English spinach",1
1067,3,346,1,"","Choysum big",1
1068,3,347,1,"","Choysum small",1
1069,3,348,1,"","Kailan",1
1070,3,349,1,"","Kai choy",1
1071,3,350,1,"","Pok choy",1
1072,3,351,1,"","White Pok choy",1
1073,3,352,1,"","Coriander",1
1074,3,353,1,"","Mint",1
1075,3,354,1,"","Water Spinach",1
1076,3,355,1,"","Rau den",1
1077,3,356,1,"","Lemongrass",1
1078,3,357,1,"","Kohlrabi",1
1079,3,358,1,"","Ngo gai",1
1080,3,359,1,"","Ngo om",1
1081,3,360,1,"","Rau ram",1
1082,3,361,1,"","Dap ca",1
1083,3,362,1,"","Tia to",1
1084,3,363,1,"","Mong toi",1
1085,3,364,1,"","Lime Leaf",1
1086,3,365,1,"","Sapoche",1
1087,3,366,1,"","Enoki 200g",1
1088,3,367,1,"","Enoki 330g",1
1089,3,368,1,"","King Oyster",1
1090,3,369,1,"","oyster 100g",1
1091,3,370,1,"","shiitake",1
1092,3,371,1,"","mixed goumet",1
1093,3,372,1,"","Dragon Fruit",1
1094,3,373,1,"","Taro Jap (Khoai So)",1
1095,3,374,1,"","Taro",1
1096,3,375,1,"","Garlic Shoot",1
1097,3,376,1,"","Onion Flower",1
1098,3,377,1,"","Chive (He )kg",1
1099,3,378,1,"","Pandan leaf",1
1100,3,379,1,"","La Lot",1
1101,3,380,1,"","Hanh huong Kg",1
1102,3,381,1,"","Bac ha kg",1
1103,3,382,1,"","Kinh gioi Kg",1
1104,3,383,1,"","Rau dang kg",1
1105,3,384,1,"","Dot lang Kg",1
1106,3,385,1,"","Gala 1.5 kg",1
1107,3,386,1,"","Water Cress",1
1108,3,387,1,"","Sugar snap",1
1109,3,388,1,"","Mesculin mix",1
1110,3,389,1,"","Baby spinach in bag",1
1111,3,390,1,"","Dates 250g",1
1112,3,391,1,"","Dates 5kg",1
1113,3,392,1,"","Dot Dau",1
1114,3,393,1,"","Bong He",1
1115,3,394,1,"","Purple yam",1
1116,3,395,1,"","Star fruit",1
