"shopProductID","productID","shopID","stockTake","productName","price"
971,250,3,1,"Nashi pear pkt",1
972,251,3,1,"Plum Seria",1
973,252,3,1,"Plum Black Amber",1
974,253,3,1,"Plum Bella",1
975,254,3,1,"Plum Sunrise",1
976,255,3,1,"Amber jewel No1",1
977,256,3,1,"Amber Jewel pkt",1
978,257,3,1,"Plum Tegan Blue",1
979,258,3,1,"Plum tegan blue pkt",1
980,259,3,1,"Plum October",1
981,260,3,1,"Plum Primetime",1
982,261,3,1,"Plum Kelsey",1
983,262,3,1,"Plum Sunrise",1
984,263,3,1,"Plum Dappe Danny",1
985,264,3,1,"Plum Fortune",1
986,265,3,1,"Plum Midnight",1
987,266,3,1,"Plum Mid Red",1
988,267,3,1,"Plum Flavour fall",1
989,268,3,1,"Plum August Candy",1
990,269,3,1,"Guava",1
991,270,3,1,"Grape Black",1
992,271,3,1,"Grape red seedless",1
993,272,3,1,"Grape red globe",1
994,273,3,1,"Grape white seedless",1
995,274,3,1,"White Dome",1
996,275,3,1,"Red Grapefruit",1
997,276,3,1,"Yellow Grapefruit",1
998,277,3,1,"Grapefruit Pomelo",1
999,278,3,1,"Banana",1
1000,279,3,1,"Banana Green",1
1001,280,3,1,"Banana carnarvon",1
1002,281,3,1,"Banana Pack",1
1003,282,3,1,"Banana l/finger",1
1004,283,3,1,"Banana Monkey",1
1005,284,3,1,"Banana  Sticky",1
1006,285,3,1,"Garlic 500g",1
1007,286,3,1,"Garlic peel 500g",1
1008,287,3,1,"Garlic local",1
1009,288,3,1,"Garlic Chives",1
1010,289,3,1,"Shallots 5kg",1
1011,290,3,1,"Shallots 10 kg",1
1012,291,3,1,"Brown onion 10kg",1
1013,292,3,1,"Brown onion 20kg",1
1014,293,3,1,"Brown onion 2kg",1
1015,294,3,1,"Brown onion loose",1
1016,295,3,1,"Onion red 2 kg",1
1017,296,3,1,"Onion red 10 kg",1
1018,297,3,1,"onion red 1kg",1
1019,298,3,1,"Onion pickle",1
1020,299,3,1,"Onion white 20 kg",1
1021,300,3,1,"Onion white 10 kg",1
1022,301,3,1,"Onion white 5 kg",1
1023,302,3,1,"Onion salad white",1
1024,303,3,1,"Onion salad red",1
1025,304,3,1,"Okra baby",1
1026,305,3,1,"Orange Navel",1
1027,306,3,1,"Orange box",1
1028,307,3,1,"Orange Sales",1
1029,308,3,1,"Orange 2 kg",1
1030,309,3,1,"Orange 3kg",1
1031,310,3,1,"Orange cara box",1
1032,311,3,1,"Orange Cara Bins",1
1033,312,3,1,"Potatoes 16kg",1
1034,313,3,1,"Potato 15kg",1
1035,314,3,1,"Potatoes 10kg gourmet",1
1036,315,3,1,"Potatoes 10kg select",1
1037,316,3,1,"Potatoes 4kg Blue",1
1038,317,3,1,"Potatoes 4kg Purple",1
1039,318,3,1,"Potatoes 4kg Red",1
1040,319,3,1,"Potatoes 4kg Yellow",1
1041,320,3,1,"Potatoes 20kg GM",1
1042,321,3,1,"Potatoes 20kg RB",1
1043,322,3,1,"Potatoes 20kg SL",1
1044,323,3,1,"Sweet potato purple",1
1045,324,3,1,"Sweet potato red",1
1046,325,3,1,"Sweet potato white",1
1047,326,3,1,"Yam (Khoai Mo)",1
1048,327,3,1,"Pumpkin butter",1
1049,328,3,1,"Pumpkin japanese",1
1050,329,3,1,"Pumpkin gold",1
1051,330,3,1,"Watermelons seedless",1
1052,331,3,1,"Watermelons seeded",1
1053,332,3,1,"Eggs 600g",1
1054,333,3,1,"Eggs 700g",1
1055,334,3,1,"Eggs 850g",1
1056,335,3,1,"Eggs WR 600g",1
1057,336,3,1,"Eggs WR 700g",1
1058,337,3,1,"Eggs GE 500g",1
1059,338,3,1,"Eggs GE 600g",1
1060,339,3,1,"Eggs GE 700g",1
1061,340,3,1,"Eggs Loose",1
1062,341,3,1,"Free range 600g",1
1063,342,3,1,"Free range 700g",1
1064,343,3,1,"Free range 800g",1
1065,344,3,1,"Kale",1
1066,345,3,1,"English spinach",1
1067,346,3,1,"Choysum big",1
1068,347,3,1,"Choysum small",1
1069,348,3,1,"Kailan",1
1070,349,3,1,"Kai choy",1
1071,350,3,1,"Pok choy",1
1072,351,3,1,"White Pok choy",1
1073,352,3,1,"Coriander",1
1074,353,3,1,"Mint",1
1075,354,3,1,"Water Spinach",1
1076,355,3,1,"Rau den",1
1077,356,3,1,"Lemongrass",1
1078,357,3,1,"Kohlrabi",1
1079,358,3,1,"Ngo gai",1
1080,359,3,1,"Ngo om",1
1081,360,3,1,"Rau ram",1
1082,361,3,1,"Dap ca",1
1083,362,3,1,"Tia to",1
1084,363,3,1,"Mong toi",1
1085,364,3,1,"Lime Leaf",1
1086,365,3,1,"Sapoche",1
1087,366,3,1,"Enoki 200g",1
1088,367,3,1,"Enoki 330g",1
1089,368,3,1,"King Oyster",1
1090,369,3,1,"oyster 100g",1
1091,370,3,1,"shiitake",1
1092,371,3,1,"mixed goumet",1
1093,372,3,1,"Dragon Fruit",1
1094,373,3,1,"Taro Jap (Khoai So)",1
1095,374,3,1,"Taro",1
1096,375,3,1,"Garlic Shoot",1
